subject_dir,classify_fasttext_hq_prob_enricher_1.pages_in,classify_fasttext_hq_prob_enricher_1.pages_out,classify_fasttext_hq_prob_enricher_1.removed,quality_filter_2.pages_in,quality_filter_2.pages_out,quality_filter_2.removed,total_removed
subject=AnalyticalChemistry,32610,32610,0,32610,6642,25968,25968
subject=Anesthesiology,29575,29575,0,29575,5454,24121,24121
subject=Allergy,22311,22311,0,22311,4930,17381,17381
subject=AnatomyMorphology,229105,229105,0,229105,68973,160132,160132
subject=Acoustics,499130,499130,0,499130,101191,397939,397939
subject=Architecture,48968,48968,0,48968,5795,43173,43173
subject=ArtPracticeHistoryTheory,255789,255789,0,255789,42388,213401,213401
subject=ArthritisRheumatology,45976,45976,0,45976,7817,38159,38159
subject=Anthropology,761230,761230,0,761229,268301,492928,492928
subject=ArtificialIntelligenceImageProcessing,226371,226371,0,226371,61222,165149,165149
subject=AppliedMathematics,1530276,1530276,0,1530276,475819,1054457,1054457
subject=BehavioralScienceComparativePsychology,33762,33762,0,33762,12181,21581,21581
subject=AgriculturalEconomicsPolicy,1361601,1361601,0,1361601,177509,1184092,1184092
subject=BiochemistryMolecularBiology,213963,213963,0,213963,38028,175935,175935
subject=Archaeology,1591607,1591607,0,1591607,344033,1247574,1247574
subject=Biophysics,55496,55496,0,55496,10592,44904,44904
subject=AerospaceAeronautics,3172529,3172529,0,3172529,575985,2596544,2596544
subject=BuildingConstruction,48258,48258,0,48258,8371,39887,39887
subject=Accounting,2100567,2100567,0,2100567,192890,1907677,1907677
subject=CardiovascularSystemHematology,178809,178809,0,178809,28864,149945,149945
subject=AutomobileDesignEngineering,2178300,2178300,0,2178300,147343,2030957,2030957
subject=Bioinformatics,2194972,2194972,0,2194972,580505,1614467,1614467
subject=ChemicalPhysics,1050390,1050390,0,1050390,245573,804817,804817
subject=ChemicalEngineering,2749919,2749919,0,2749919,732123,2017796,2017796
subject=ClinicalPsychology,23248,23248,0,23248,2825,20423,20423
subject=AstronomyAstrophysics,3886353,3886353,0,3886353,766116,3120237,3120237
subject=ComplementaryAlternativeMedicine,21076,21076,0,21076,2987,18089,18089
subject=ComputationTheoryMathematics,13472,13472,0,13472,3763,9709,9709
subject=AgronomyAgriculture,7074226,7074226,0,7074224,1178088,5896136,5896136
subject=ComputerHardwareArchitecture,36695,36695,0,36695,12144,24551,24551
subject=AppliedEthics,5197229,5197229,0,5197229,1269280,3927949,3927949
subject=BiomedicalEngineering,8028630,8028630,0,8028630,1456470,6572160,6572160
subject=CommunicationMediaStudies,1026472,1026472,0,1026472,175629,850843,850843
subject=AppliedPhysics,9669832,9669832,0,9669832,1837658,7832174,7832174
subject=DermatologyVenerealDiseases,112848,112848,0,112848,16395,96453,96453
subject=DesignPracticeManagement,4130,4130,0,4130,453,3677,3677
subject=DairyAnimalScience,692354,692354,0,692354,131634,560720,560720
subject=Dentistry,149904,149904,0,149904,14632,135272,135272
subject=DevelopmentalChildPsychology,173822,173822,0,173822,27588,146234,146234
subject=DistributedComputing,11741,11741,0,11741,2704,9037,9037
subject=DevelopmentalBiology,405384,405384,0,405384,90149,315235,315235
subject=DramaTheater,302762,302762,0,302762,70844,231918,231918
subject=Classics,1148663,1148663,0,1148663,427983,720680,720680
subject=Econometrics,187583,187583,0,187583,34323,153260,153260
subject=EconomicTheory,78681,78681,0,78681,7862,70819,70819
subject=Ecology,1276539,1276539,0,1276539,279421,997118,997118
subject=Criminology,3874165,3874165,0,3874165,694710,3179455,3179455
subject=EmergencyCriticalCareMedicine,50154,50154,0,50154,11660,38494,38494
subject=EndocrinologyMetabolism,55179,55179,0,55179,15153,40026,40026
subject=Education,2116565,2116565,0,2116558,145983,1970575,1970575
subject=Entomology,593840,593840,0,593840,165652,428188,428188
subject=CivilEngineering,7549930,7549930,0,7549930,623557,6926373,6926373
subject=EnvironmentalOccupationalHealth,36908,36908,0,36908,4304,32604,32604
subject=Demography,1179446,1179446,0,1179446,308035,871411,871411
subject=Epidemiology,1483400,1483400,0,1483400,255569,1227831,1227831
subject=ElectricalElectronicEngineering,2615473,2615473,0,2615473,267270,2348203,2348203
subject=ExperimentalPsychology,70231,70231,0,70231,23699,46532,46532
subject=EvolutionaryBiology,607251,607251,0,607251,219287,387964,387964
subject=EnvironmentalEngineering,3976988,3976988,0,3976988,785187,3191801,3191801
subject=Biotechnology,7553567,7553567,0,7553480,1839579,5713901,5713901
subject=CulturalStudies,6552476,6552476,0,6552476,2183025,4369451,4369451
subject=Folklore,20173,20173,0,20173,4488,15685,15685
subject=Finance,3989786,3989786,0,3989786,479820,3509966,3509966
subject=FluidsPlasmas,1040646,1040646,0,1040646,251511,789135,789135
subject=FamilyStudies,5862230,5862230,0,5862230,742945,5119285,5119285
subject=GastroenterologyHepatology,41189,41189,0,41189,7573,33616,33616
subject=GeneralChemistry,99001,99001,0,99001,28996,70005,70005
subject=GeneralClinicalMedicine,38721,38721,0,38721,3143,35578,35578
subject=GeneralInternalMedicine,55547,55547,0,55547,3669,51878,51878
subject=Energy,7062706,7062706,0,7062698,1157275,5905423,5905423
subject=Fisheries,3630680,3630680,0,3630680,447372,3183308,3183308
subject=GeneralPsychologyCognitiveSciences,12047,12047,0,12047,2481,9566,9566
subject=GeneticsHereditary,186283,186283,0,186283,54055,132228,132228
subject=FoodScience,3058142,3058142,0,3058139,654758,2403381,2403381
subject=GeochemistryGeophysics,861404,861404,0,861404,202848,658556,658556
subject=GenderStudies,2344658,2344658,0,2344658,523013,1821645,1821645
subject=Forestry,3728521,3728521,0,3728521,526653,3201868,3201868
subject=Geriatrics,50146,50146,0,50146,5461,44685,44685
subject=EnvironmentalSciences,12313826,12313826,0,12313824,2183553,10130271,10130271
subject=GeneralMathematics,2688240,2688240,0,2688240,1152042,1536198,1536198
subject=Gerontology,769838,769838,0,769838,128083,641755,641755
subject=HistoryofScienceTechnologyMedicine,956550,956550,0,956550,322817,633733,633733
subject=GeologicalGeomaticsEngineering,1654916,1654916,0,1654916,265876,1389040,1389040
subject=History,1084842,1084842,0,1084842,331621,753221,753221
subject=HumanFactors,21972,21972,0,21972,4433,17539,17539
subject=Geography,3359113,3359113,0,3359113,577690,2781423,2781423
subject=Immunology,145567,145567,0,145567,25870,119697,119697
subject=HealthPolicyServices,2355152,2355152,0,2355152,283982,2071170,2071170
subject=HistoryofSocialSciences,647977,647977,0,647977,245453,402524,402524
subject=InformationSystems,106769,106769,0,106769,23893,82876,82876
subject=InorganicNuclearChemistry,49356,49356,0,49356,11204,38152,38152
subject=IndustrialEngineeringAutomation,3012135,3012135,0,3012135,575414,2436721,2436721
subject=Geology,4388968,4388968,0,4388968,1146780,3242188,3242188
subject=Law,809158,809158,0,809158,137373,671785,671785
subject=LegalForensicMedicine,7492,7492,0,7492,1475,6017,6017
subject=IndustrialRelations,2412248,2412248,0,2412226,247993,2164233,2164233
subject=LanguagesLinguistics,3133902,3133902,0,3133897,551065,2582832,2582832
subject=MarineBiologyHydrobiology,1178499,1178499,0,1178499,255765,922734,922734
subject=LogisticsTransportation,1600394,1600394,0,1600394,124136,1476258,1476258
subject=InformationLibrarySciences,2957685,2957685,0,2957685,265573,2692112,2692112
subject=MathematicalPhysics,198684,198684,0,198684,36596,162088,162088
subject=GeneralPhysics,14177988,14177988,0,14177988,4093987,10084001,10084001
subject=Horticulture,8676789,8676789,0,8676756,1150220,7526536,7526536
subject=MedicalInformatics,2565967,2565967,0,2565967,139961,2426006,2426006
subject=MedicinalBiomolecularChemistry,41810,41810,0,41810,5479,36331,36331
subject=Microbiology,66195,66195,0,66195,11029,55166,55166
subject=Microscopy,58737,58737,0,58737,12638,46099,46099
subject=MeteorologyAtmosphericSciences,359805,359805,0,359805,79625,280180,280180
subject=Music,136204,136204,0,136204,30601,105603,105603
subject=MycologyParasitology,74255,74255,0,74255,19255,55000,55000
subject=MiningMetallurgy,1740312,1740312,0,1740312,137401,1602911,1602911
subject=NetworkingTelecommunications,29920,29920,0,29920,5950,23970,23970
subject=NeurologyNeurosurgery,66807,66807,0,66807,17628,49179,49179
subject=NuclearMedicineMedicalImaging,89092,89092,0,89092,13904,75188,75188
subject=NanoscienceNanotechnology,1199127,1199127,0,1199127,231021,968106,968106
subject=Marketing,6299523,6299523,0,6299523,745247,5554276,5554276
subject=LiteraryStudies,5900648,5900648,0,5900648,1289736,4610912,4610912
subject=NutritionDietetics,117257,117257,0,117257,27611,89646,89646
subject=ObstetricsReproductiveMedicine,71890,71890,0,71890,9385,62505,62505
subject=NumericalComputationalMathematics,1033717,1033717,0,1033717,259515,774202,774202
subject=OncologyCarcinogenesis,94316,94316,0,94316,15763,78553,78553
subject=NuclearParticlePhysics,1977301,1977301,0,1977301,474928,1502373,1502373
subject=OphthalmologyOptometry,56430,56430,0,56430,20733,35697,35697
subject=InternationalRelations,11128903,11128903,0,11128901,3090672,8038229,8038229
subject=Materials,5902381,5902381,0,5902381,1250538,4651843,4651843
subject=OrganicChemistry,29817,29817,0,29817,7613,22204,22204
subject=OperationsResearch,824568,824568,0,824568,217133,607435,607435
subject=Orthopedics,57483,57483,0,57483,9593,47890,47890
subject=Otorhinolaryngology,34063,34063,0,34063,9089,24974,24974
subject=Optics,877254,877254,0,877241,126643,750598,750598
subject=Pathology,77448,77448,0,77448,16611,60837,60837
subject=MechanicalEngineeringTransports,8357558,8357558,0,8357558,875954,7481604,7481604
subject=Pediatrics,30690,30690,0,30690,3738,26952,26952
subject=PharmacologyPharmacy,48136,48136,0,48136,7182,40954,40954
subject=PhysicalChemistry,49146,49146,0,49146,13575,35571,35571
subject=Nursing,3359381,3359381,0,3359381,553170,2806211,2806211
subject=Physiology,102668,102668,0,102668,22407,80261,80261
subject=Ornithology,1468859,1468859,0,1468859,235512,1233347,1233347
subject=Polymers,63335,63335,0,63335,16094,47241,47241
subject=Psychiatry,29197,29197,0,29197,5474,23723,23723
subject=Psychoanalysis,41765,41765,0,41765,12786,28979,28979
subject=Oceanography,1620117,1620117,0,1620117,303167,1316950,1316950
subject=OptoelectronicsPhotonics,1460025,1460025,0,1460025,109916,1350109,1350109
subject=DevelopmentStudies,38116063,38116063,0,38116063,6278703,31837360,31837360
subject=RespiratorySystem,76672,76672,0,76672,14086,62586,62586
subject=ScienceStudies,461268,461268,0,461268,108869,352399,352399
subject=SocialPsychology,94093,94093,0,94093,22491,71602,71602
subject=Paleontology,2596721,2596721,0,2596721,590337,2006384,2006384
subject=SocialSciencesMethods,511875,511875,0,511875,117901,393974,393974
subject=Rehabilitation,2808766,2808766,0,2808766,425356,2383410,2383410
subject=SoftwareEngineering,123176,123176,0,123176,28743,94433,94433
subject=PlantBiologyBotany,3814782,3814782,0,3814782,661513,3153269,3153269
subject=PublicHealth,4910874,4910874,0,4910872,843415,4067457,4067457
subject=SportSciences,106943,106943,0,106943,20582,86361,86361
subject=Philosophy,1975250,1975250,0,1975250,564667,1410583,1410583
subject=SpeechLanguagePathologyAudiology,3145835,3145835,0,3145835,299191,2846644,2846644
subject=SubstanceAbuse,1123855,1123855,0,1123855,232279,891576,891576
subject=Surgery,29760,29760,0,29760,3199,26561,26561
subject=Toxicology,29306,29306,0,29306,4404,24902,24902
subject=TropicalMedicine,39552,39552,0,39552,6824,32728,32728
subject=SocialWork,5272210,5272210,0,5272210,449887,4822323,4822323
subject=UrologyNephrology,40420,40420,0,40420,8809,31611,31611
subject=UrbanRegionalPlanning,434867,434867,0,434867,87131,347736,347736
subject=Virology,95305,95305,0,95305,25110,70195,70195
subject=PoliticalSciencePublicAdministration,5137728,5137728,0,5137728,1307640,3830088,3830088
subject=BusinessManagement,71177866,71177866,0,71176270,7838918,63337352,63337352
subject=SportLeisureTourism,2689332,2689332,0,2689332,277330,2412002,2412002
subject=StatisticsProbability,2479575,2479575,0,2479568,581593,1897975,1897975
subject=Zoology,2101431,2101431,0,2101431,640617,1460814,1460814
subject=VeterinarySciences,3998113,3998113,0,3998113,732401,3265712,3265712
subject=Sociology,5057885,5057885,0,5057885,1545278,3512607,3512607
subject=StrategicDefenceSecurityStudies,4280279,4280279,0,4280279,1185701,3094578,3094578
subject=Economics,68142617,68142617,0,68116275,10897916,57218359,57218359
subject=ReligionsTheology,49875784,49875784,0,49875612,7121079,42754533,42754533
